season,player,team,position,games,games_started,sacks,qb_hits,tackles_for_loss,tackles,tackles_solo,fumbles_forced,pass_defended,interceptions,hurries,qb_knockdowns,pressures,tackles_combined,missed_tackles,blitzes,prwr_rank_2024,prwr_wins_2024,prwr_plays_2024,prwr_pct_2024,edge_pct_prwr_2024,rswr_rank_2024,rswr_wins_2024,rswr_plays_2024,rswr_pct_2024
2024,Trey Hendrickson,CIN,RDE,17,17,17.5,36.0,19.0,33.0,28.0,2.0,6.0,,18,17,54,46,4,1,10,20,101,20%,14%,,,,
2024,Myles Garrett,CLE,RDE,17,17,14.0,28.0,22.0,40.0,34.0,3.0,1.0,,13,17,44,47,3,0,4,25,114,22%,30%,8,31,98,32%
2024,Nik Bonitto,DEN,ROLB,17,15,13.5,24.0,16.0,33.0,30.0,2.0,4.0,1.0,11,11,36,48,6,70,7,26,125,21%,12%,,,,
2024,Kyle Van Noy,BAL,ROLB,16,13,12.5,21.0,14.0,25.0,23.0,2.0,2.0,,4,8,25,41,3,10,,,,,,,,,
2024,Danielle Hunter,HOU,RDE,17,17,12.0,23.0,17.0,31.0,26.0,1.0,3.0,,10,11,34,46,4,8,13,25,131,19%,21%,,,,
2024,Micah Parsons,DAL,DE,,,12.0,23.0,12.0,30.0,27.0,2.0,1.0,,,,,,,,,,,,,,,,
2024,Jonathan Greenard,MIN,ROLB,17,17,12.0,22.0,18.0,41.0,37.0,4.0,3.0,,18,12,42,59,9,72,3,26,114,23%,13%,,,,
2024,TJ Watt,PIT,LOLB,17,17,11.5,,,,,,,,3,16,31,61,4,23,,,,,,,,,
2024,Andrew Van Ginkel,MIN,OLB,,,11.5,19.0,18.0,50.0,41.0,1.0,6.0,2.0,,,,,,,,,,,,,,,
2024,T.J. Watt,PIT,OLB,,,11.5,27.0,19.0,40.0,35.0,6.0,4.0,,,,,,,,,,,,,,,,
2024,Leonard Williams,SEA,LDE,16,16,11,,,,,,,,2,16,30,64,4,0,,,,,,,,,
2024,Will Anderson,HOU,LDE,14,14,11.0,19.0,16.0,27.0,23.0,1.0,2.0,,9,8,29,37,4,1,,,,,,,,,
2024,Will McDonald,NYJ,LDE,17,15,10.5,24.0,11.0,18.0,13.0,2.0,3.0,,14,12,38,28,5,3,,,,,,,,,
2024,Jonathon Cooper,DEN,LOLB,17,17,10.5,20.0,11.0,33.0,30.0,1.0,1.0,,10,8,30,58,1,86,,,,,,,,,
2024,Dante Fowler,WAS,OLB,,,10.5,12.0,14.0,25.0,24.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
2024,Travon Walker,JAX,RDE,17,17,10.5,15.0,13.0,31.0,30.0,2.0,1.0,,13,5,29,61,10,2,,,,,,,,,
2024,Odafe Oweh,BAL,LOLB,17,10,10.0,23.0,9.0,25.0,23.0,1.0,,,5,12,28,39,3,7,8,22,106,21%,15%,,,,
2024,Zach Sieler,MIA,LDE,15,15,10.0,19.0,13.0,28.0,27.0,1.0,2.0,1.0,3,8,22,55,5,0,,,,,,,,,
2024,Nick Bosa,SF,LDE,14,14,9.0,24.0,15.0,33.0,30.0,1.0,1.0,1.0,12,15,37,52,9,0,,,,,,,,,
2024,Harold Landry,TEN,ROLB,17,17,9.0,15.0,15.0,42.0,33.0,,4.0,,3,6,18,71,7,14,,,,,,,,,
2024,ZaDarius Smith,2TM,LDE,17,16,9,,,,,,,,8,7,25,35,4,2,,,,,,,,,
2024,Leonard Floyd,SF,RDE,17,17,8.5,16.0,8.0,25.0,22.0,1.0,1.0,,5,6,21,42,6,3,,,,,,,,,
2024,Tuli Tuipulotu,LAC,OLB,17,9,8.5,16.0,11.0,22.0,22.0,1.0,2.0,,2,7,19,42,5,20,17,18,105,17%,20%,,,,
2024,Zach Allen,DEN,DE,,,8.5,40.0,15.0,32.0,26.0,,1.0,,,,,,,,,,,,,,,,
2024,Braden Fiske,LA,RDE,17,8,8.5,,,,,,,,11,2,22,44,7,1,,,,,,,,,
2024,Brian Burns,NYG,LOLB,17,17,8.5,18.0,17.0,42.0,35.0,2.0,8.0,,16,9,34,71,7,26,18,21,123,17%,12%,,,,
2024,Josh Sweat,PHI,OLB,,,8.0,15.0,9.0,27.0,24.0,,2.0,,,,,,,,,,,,,,,,
2024,Cameron Heyward,PIT,LDE,17,17,8,,,,,,,,5,10,24,71,3,0,,,,,,,,,
2024,Derick Hall,SEA,OLB,,,8.0,20.0,6.0,20.0,19.0,2.0,,,,,,,,,,,,,,,,,
2024,Gregory Rousseau,BUF,RDE,16,16,8.0,24.0,16.0,36.0,31.0,3.0,3.0,,11,15,35,53,5,1,,,,,,,,,
2024,Kwity Paye,IND,LDE,15,15,8.0,12.0,10.0,29.0,22.0,1.0,1.0,,9,4,22,41,3,0,,,,,,,,,
2024,Kobie Turner,LA,LDE,17,16,8,,,,,,,,10,4,22,62,3,0,,,,,,,,,
2024,Josh Hines-Allen,JAX,LDE,16,16,8.0,19.0,10.0,27.0,19.0,1.0,2.0,,9,11,29,45,4,5,19,22,134,16%,15%,,,,
2024,George Karlaftis,KC,LDE,16,11,8.0,28.0,9.0,21.0,18.0,,5.0,,11,18,37,35,1,0,,,,,,,,,
2024,Calijah Kancey,TB,LDE,12,12,7.5,17.0,11.0,22.0,19.0,1.0,,,3,8,19,28,2,0,,,,,,,,,
2024,Aidan Hutchinson,DET,DL,5,5,7.5,17.0,7.0,12.0,12.0,1.0,,,10,9,27,19,2,2,,,,,,,,,
2024,Byron Young,LA,LOLB,17,16,7.5,13.0,12.0,34.0,33.0,1.0,1.0,,8,7,23,62,8,53,,,,,,,,,
2024,Maxx Crosby,LV,RDE,12,12,7.5,20.0,17.0,28.0,26.0,,5.0,,15,12,35,45,3,1,14,29,161,18%,24%,1,51,135,38%
2024,Rashan Gary,GB,RDE,17,17,7.5,15.0,9.0,26.0,22.0,1.0,1.0,,10,8,26,47,1,6,,,,,,,,,
2024,Patrick Jones,MIN,OLB,15,1,7.0,12.0,9.0,19.0,16.0,1.0,,,5,5,17,39,4,47,,,,,,,,,
2024,John Franklin-Myers,DEN,RDE,17,16,7.0,18.0,8.0,18.0,16.0,,,,3,10,21,40,2,1,,,,,,,,,
2024,Arden Key,TEN,LOLB,16,15,6.5,15.0,11.0,24.0,21.0,2.0,1.0,,4,7,18,42,6,11,,,,,,,,,
2024,Nolan Smith,PHI,LOLB,16,10,6.5,11.0,8.0,20.0,18.0,1.0,2.0,,4,4,15,42,1,15,,,,,,,,,
2024,Chop Robinson,MIA,OLB,,,6.0,14.0,8.0,16.0,12.0,,4.0,,,,,,,,,,,,,,,,
2024,Azeez Ojulari,NYG,OLB,11,5,6.0,10.0,7.0,12.0,12.0,,,,1,2,10,28,7,10,,,,,,,,,
2024,Alex Highsmith,PIT,ROLB,11,11,6.0,13.0,9.0,28.0,23.0,1.0,2.0,,6,8,20,45,0,29,,,,,,7,26,82,32%
2024,A.J. Epenesa,BUF,DE,,,6.0,11.0,8.0,23.0,20.0,2.0,2.0,,,,,,,,,,,,,,,,
2024,Khalil Mack,LAC,LOLB,16,16,6.0,15.0,6.0,20.0,18.0,2.0,9.0,,7,8,22,39,5,6,,,,,,,,,
2024,Von Miller,BUF,DE,,,6.0,8.0,7.0,13.0,11.0,,,,,,,,,,,,,,,,,,
2024,Arnold Ebiketie,ATL,OLB,17,2,6.0,12.0,6.0,26.0,23.0,,2.0,,12,6,24,38,3,22,,,,,,,,,
2024,Bud Dupree,LAC,OLB,17,0,6.0,10.0,6.0,18.0,17.0,1.0,2.0,1.0,1,5,12,28,5,13,,,,,,,,,
2024,AJ Epenesa,BUF,LDE,17,13,6,,,,,,,,6,4,16,39,2,0,,,,,,,,,
2024,Boye Mafe,SEA,LOLB,15,11,6.0,12.0,8.0,25.0,22.0,1.0,3.0,,9,6,21,40,4,25,12,21,110,19%,13%,,,,
2024,Matthew Judon,ATL,ROLB,17,15,5.5,,,,,,,,3,3,12,41,6,28,,,,,,,,,
2024,Jadeveon Clowney,CAR,ROLB,14,14,5.5,11.0,9.0,24.0,20.0,,4.0,,11,5,22,46,6,23,,,,,,,,,
2024,Chase Young,NO,DE,17,0,5.5,21.0,8.0,21.0,18.0,1.0,3.0,,14,13,34,31,3,1,,,,,,,,,
2024,Chauncey Golston,DAL,RDE,17,13,5.5,8.0,5.0,30.0,28.0,,5.0,1.0,9,2,18,56,4,2,,,,,,,,,
2024,Montez Sweat,CHI,LDE,16,16,5.5,12.0,9.0,18.0,12.0,2.0,2.0,,9,7,22,32,3,0,,,,,,,,,
2024,Matt Judon,ATL,OLB,,,5.5,9.0,7.0,25.0,23.0,,5.0,1.0,,,,,,,,,,,,,,,
2024,Logan Hall,TB,RDE,16,10,5.5,10.0,6.0,17.0,15.0,,1.0,,0,4,10,28,1,0,,,,,,,,,
2024,Nick Herbig,PIT,OLB,,,5.5,11.0,5.0,13.0,13.0,4.0,,,,,,,,,1,37,110,34%,13%,,,,
2024,AShawn Robinson,CAR,RDE,16,16,5.5,,,,,,,,1,2,9,80,5,0,,,,,,,,,
2024,A'Shawn Robinson,CAR,DE,,,5.5,8.0,8.0,43.0,36.0,1.0,1.0,,,,,,,,,,,,,,,,
2024,Carl Granderson,NO,RDE,17,17,5.5,13.0,9.0,36.0,31.0,1.0,4.0,,18,7,32,61,9,1,,,,,,,,,
2024,Kayvon Thibodeaux,NYG,ROLB,12,12,5.5,17.0,8.0,14.0,8.0,1.0,2.0,,3,10,20,28,3,12,,,,,,,,,
2024,Derek Barnett,HOU,DE,16,1,5.0,7.0,4.0,15.0,14.0,2.0,,,3,4,12,26,1,0,,,,,,,,,
2024,Joey Bosa,LAC,ROLB,14,9,5.0,13.0,5.0,17.0,16.0,2.0,,,6,8,19,22,3,2,,,,,,,,,
2024,Calais Campbell,MIA,DE,,,5.0,12.0,12.0,35.0,28.0,1.0,5.0,,,,,,,,,,,,,,,,
