season,nfl_id,name,position,ngs_position,position_group,team_id,games_played,games_started,game_snaps,team_snaps,pass_rush_snaps,pass_rush_rate,get_off_time,qb_pressures,qb_pressure_rate,time_to_pressure,sacks,sack_rate,time_to_sack,qb_defeats,turn_pressures,qualified_defender
2019,42427,Jordan Hicks,MLB,LB,LB,3800,16,16,1078,1080,96,0.1426,0.93276,16,0.1667,2.46875,1.5,0.0156,3.737,6,0,True
2019,38588,Lavonte David,OLB,LB,LB,4900,16,16,1067,1073,98,0.1339,0.93761,15,0.1531,3.17333,1,0.0102,5.806,6,0,True
2019,46142,Jerome Baker,LB,LB,LB,2700,16,15,1018,1053,138,0.2442,1.00904,15,0.1087,2.92667,1.5,0.0109,4.562,4,0,True
2019,38551,Chandler Jones,OLB,ED,LB,3800,16,16,1015,1080,584,0.9097,0.92336,85,0.1456,2.76941,19,0.0325,4.063,37,4,True
2019,43388,Joe Schobert,MLB,LB,LB,1050,16,16,1006,1014,79,0.1364,1.0214,9,0.1139,2.63333,2,0.0253,3.5715,6,0,True
2019,38539,Luke Kuechly,MLB,LB,LB,0750,16,16,1001,1042,40,0.0659,0.9466,3,0.075,3.1,0,,0,1,0,True
2019,38577,Bobby Wagner,MLB,LB,LB,4600,16,16,1000,1014,84,0.1302,0.91111,15,0.1786,2.79333,3,0.0357,4.86833,8,0,True
2019,43797,Cory Littleton,ILB,LB,LB,2510,16,16,993,1056,76,0.1277,1.01073,14,0.1842,3.23571,3.5,0.0461,5.46775,3,0,True
2019,43420,Blake Martinez,ILB,LB,LB,1800,16,16,982,998,35,0.0585,0.89056,9,0.2571,2.73333,3,0.0857,3.50333,3,0,True
2019,39998,Jon Bostic,ILB,LB,LB,5110,16,16,981,1079,59,0.1057,0.87122,11,0.1864,3.49091,1,0.0169,6.073,4,0,True
2019,43376,Nick Vigil,OLB,LB,LB,0920,16,16,950,1034,77,0.1501,0.97119,8,0.1039,3.075,1,0.013,5.906,5,0,True
2019,37174,K.J. Wright,OLB,LB,LB,4600,16,16,948,1014,63,0.1057,0.95762,5,0.0794,2.26,0,,0,4,0,True
2019,43323,Jaylon Smith,MLB,LB,LB,1200,16,16,935,1015,75,0.1275,0.96376,15,0.2,3.60714,2.5,0.0333,5.36567,3,0,True
2019,42365,Bud Dupree,OLB,ED,LB,3900,16,16,929,1030,511,0.9241,0.84246,60,0.1174,2.96333,11.5,0.0225,4.84367,23,6,True
